        42	        73
        46	        97
        52	       120
        57	       142
        64	       163
        77	       182
        93	       198
       111	       211
       130	       214
       149	       210
       166	       196
       181	       181
       194	       162
       203	       142
       207	       120
       211	        97
       214	        75
        59	        72
        73	        68
        87	        69
       101	        74
       114	        80
       142	        79
       156	        74
       169	        70
       184	        69
       199	        72
       128	        91
       128	       105
       129	       120
       129	       134
       115	       143
       122	       145
       129	       146
       136	       145
       143	       143
        74	        89
        84	        83
        97	        84
       107	        94
        95	        96
        83	        96
       150	        94
       160	        84
       172	        83
       182	        89
       174	        96
       161	        96
        99	       166
       110	       162
       121	       159
       129	       161
       136	       159
       146	       163
       157	       167
       146	       176
       137	       181
       129	       182
       120	       181
       109	       176
       103	       167
       121	       167
       129	       168
       136	       168
       152	       168
       136	       168
       128	       169
       121	       168
